name,brand,model,version,years,fuel,car_type,power,torque,consumption,zero100,speed_max,price_min,price_max,reliability,comfort,fun,pros,cons,ideal,checks,mods,avoid,verdict
Mini Cooper 1.5 136 CV,Mini,Cooper,1.5 136 CV,2014-oggi,Benzina,Compatta premium,136,220,5.5,7.9,210,12000,22000,8,7,9,"Bella, agile, divertente, interni curati, immagine premium.","Spazio posteriore limitato, bagagliaio piccolo, costi non bassissimi.","Citta, uso quotidiano e guida divertente.","Tagliandi, frizione, cambio, sospensioni, elettronica, gomme.","Molle sportive moderate, cerchi leggeri, gomme di qualita, scarico omologato.","Assetto troppo basso, scarico non omologato, mappa aggressiva.","Ottima scelta se vuoi una compatta bella, premium e divertente."
Fiat Punto 1.3 Multijet,Fiat,Punto,1.3 Multijet,2003-2018,Diesel,Utilitaria,95,200,4.2,11.7,178,2500,7500,8,6,5,"Consuma poco, ricambi economici, motore molto diffuso.","Interni semplici, prestazioni tranquille, attenzione a EGR e manutenzione.","Casa-lavoro, uso quotidiano economico e lunghi tragitti.","Km reali, tagliandi, distribuzione, frizione, turbina, EGR, fumo allo scarico.","Manutenzione completa, gomme buone, freni in ordine, cerchi sobri.","Eliminazione FAP, scarico non omologato, rimappa pesante, assetto estremo.",Scelta intelligente se vuoi spendere poco e consumare poco.
Volkswagen Golf GTI 2.0 TSI,Volkswagen,Golf,GTI 2.0 TSI,2013-2020,Benzina,Compatta sportiva,230,350,7.5,6.4,248,18000,32000,7,8,9,"Veloce, equilibrata, comoda, qualita alta.","Costo alto, manutenzione piu cara, attenzione a DSG e tagliandi.","Sportiva quotidiana, viaggi, guida brillante.","Storico tagliandi, cambio DSG, turbina, freni, gomme, modifiche precedenti.","Gomme sportive, freni migliori, assetto di qualita, scarico omologato.","Mappa senza controlli, preparazioni economiche, assetto estremo.",Una delle migliori compatte sportive per equilibrio generale.
Toyota Yaris Hybrid,Toyota,Yaris,Hybrid,2012-oggi,Ibrida benzina,Utilitaria ibrida,116,120,3.8,9.7,175,11000,24000,9,7,6,"Affidabile, consuma poco, ottima in citta.","Poco sportiva, bagagliaio medio, sound poco emozionante.","Citta, neopatentati, bassi consumi, affidabilita.","Tagliandi, batteria ibrida, freni, gomme, stato carrozzeria.","Gomme efficienti, manutenzione ufficiale, estetica leggera.","Scarico sportivo, assetto estremo, modifiche meccaniche pesanti.","Perfetta se cerchi risparmio, affidabilita e praticita."
Fiat 500 Abarth,Fiat,500 Abarth,Abarth,2008-oggi,Benzina,Piccola sportiva,145,206,6.5,7.8,210,13000,25000,7,5,9,"Divertente, sound piacevole, estetica forte.","Rigida, poco spaziosa, costi superiori a una 500 normale.","Divertimento, citta, appassionati.","Modifiche precedenti, frizione, turbina, freni, assetto, gomme.","Scarico omologato, gomme sportive, freni migliori, assetto di qualita.","Scarichi non omologati, assetti troppo rigidi, mappe spinte senza controlli.","Auto emozionale, perfetta se vuoi divertirti."
Fiat Panda 1.2,Fiat,Panda,1.2,2012-oggi,Benzina,City car,69,102,5.2,14.2,164,5000,12000,8,6,4,"Economica, semplice, pratica, ricambi facili.","Prestazioni basse, interni semplici, poco adatta a guida sportiva.","Citta, neopatentati, uso quotidiano economico.","Frizione, tagliandi, sospensioni, gomme, piccoli urti cittadini.","Gomme buone, manutenzione, autoradio, estetica leggera.","Assetto rigido, scarico sportivo, modifiche meccaniche inutili.",Scelta molto razionale se vuoi spendere poco.
Fiat 500 1.2,Fiat,500,1.2,2007-oggi,Benzina,City car,69,102,5.1,12.9,160,6000,14000,7,6,5,"Bella, compatta, facile da parcheggiare, molto diffusa.","Spazio limitato, prezzo usato spesso alto, prestazioni tranquille.","Citta, neopatentati, uso urbano.","Tagliandi, frizione, sospensioni, carrozzeria, gomme.","Cerchi sobri, gomme buone, interni, detailing.","Assetto troppo basso, scarichi rumorosi, cerchi troppo grandi.",Ottima se vuoi una city car bella e facile.
Lancia Ypsilon 1.2,Lancia,Ypsilon,1.2,2011-oggi,Benzina,Utilitaria,69,102,5.3,14.5,163,5000,13000,7,7,4,"Comoda, elegante, facile da usare, costi contenuti.","Prestazioni basse, guida poco sportiva, dotazioni variabili.","Citta, neopatentati, uso quotidiano tranquillo.","Tagliandi, frizione, interni, elettronica, gomme.","Estetica leggera, gomme buone, manutenzione ordinata.","Tuning pesante, scarico sportivo, assetto estremo.",Buona utilitaria elegante e semplice.
Volkswagen Polo 1.0 TSI,Volkswagen,Polo,1.0 TSI,2017-oggi,Benzina,Utilitaria premium,95,175,5.0,10.8,187,12000,22000,8,8,6,"Qualita buona, consumi bassi, motore brillante.","Prezzo usato alto, manutenzione piu cara di utilitarie economiche.","Uso quotidiano, citta, autostrada leggera.","Tagliandi, cambio, frizione, elettronica, gomme.","Cerchi omologati, gomme buone, assetto moderato.","Mappe spinte, assetto troppo rigido, scarico non omologato.",Utilitaria completa e matura.
Audi A1 1.4 TFSI,Audi,A1,1.4 TFSI,2010-2018,Benzina,Compatta premium,122,200,5.8,8.9,203,8000,17000,7,8,7,"Qualita interna, immagine premium, motore piacevole.","Spazio limitato, prezzi usato non bassi, manutenzione premium.","Citta, uso quotidiano, chi vuole una piccola premium.","Tagliandi, cambio, catena/cinghia secondo versione, elettronica, gomme.","Cerchi leggeri, gomme buone, assetto moderato.","Mappa aggressiva, scarico non omologato, assetto troppo basso.",Buona alternativa premium a Mini e Polo.
Audi A3 2.0 TDI,Audi,A3,2.0 TDI,2012-2020,Diesel,Compatta premium,150,340,4.7,8.4,216,13000,26000,8,8,7,"Ottima per viaggi, consumi bassi, qualita alta.","Costi manutenzione superiori, attenzione a chilometri reali e uso precedente.","Autostrada, viaggi, uso quotidiano premium.","Km reali, tagliandi, DPF, EGR, frizione/DSG, turbina.","Gomme di qualita, freni buoni, manutenzione, estetica sobria.","Eliminazione DPF, mappe aggressive, assetto estremo.",Molto valida se fai tanti chilometri.
BMW Serie 1 118d,BMW,Serie 1,118d,2011-2019,Diesel,Compatta premium,143,320,4.8,8.9,212,10000,23000,7,7,8,"Guida piacevole, immagine premium, consumi buoni.","Manutenzione non economica, attenzione a catena e storico tagliandi.","Uso quotidiano, viaggi, chi cerca guida piu sportiva.","Catena distribuzione, tagliandi, frizione, turbina, gomme, assetto.","Gomme buone, freni, assetto di qualita, estetica M-style sobria.","Mappe spinte, assetto economico, auto molto chilometrate senza storico.",Interessante se vuoi una compatta premium divertente.
Mercedes Classe A 180d,Mercedes,Classe A,180d,2012-2018,Diesel,Compatta premium,109,260,4.3,11.3,190,12000,24000,8,8,6,"Immagine premium, consumi bassi, buona qualita.","Prestazioni tranquille, prezzi usato alti, manutenzione premium.","Uso quotidiano, viaggi, consumi bassi.","Tagliandi, cambio, frizione, DPF, elettronica, gomme.","Cerchi omologati, gomme buone, estetica AMG sobria.","Rimappe aggressive, scarichi non omologati, assetti troppo bassi.",Compatta premium razionale e parca.
Ford Fiesta 1.0 EcoBoost,Ford,Fiesta,1.0 EcoBoost,2013-2023,Benzina,Utilitaria,100,170,5.2,10.8,180,7000,17000,7,7,8,"Guida piacevole, motore brillante, costi abbastanza gestibili.","Controllare manutenzione, cinghia secondo versione, uso precedente.","Citta, extraurbano, chi vuole utilitaria divertente.","Tagliandi, cinghia, frizione, turbo, gomme, freni.","Gomme buone, assetto moderato, freni, estetica ST-line.","Mappa pesante, manutenzione saltata, assetto economico.",Una delle utilitarie piu piacevoli da guidare.
Renault Clio 1.5 dCi,Renault,Clio,1.5 dCi,2012-2019,Diesel,Utilitaria,90,220,4.0,12.0,180,6000,14000,8,7,5,"Consumi bassi, comoda, buona per tanti km.","Prestazioni tranquille, attenzione a manutenzione diesel.","Viaggi economici, casa-lavoro, extraurbano.","Tagliandi, DPF, EGR, frizione, turbina, km reali.","Manutenzione, gomme buone, freni in ordine.","Eliminazione DPF, rimappa pesante, scarico rumoroso.",Diesel piccolo molto sensato se fai strada.
Peugeot 208 1.2 PureTech,Peugeot,208,1.2 PureTech,2012-oggi,Benzina,Utilitaria,82,118,5.0,12.2,175,7000,18000,7,7,6,"Bella, comoda, consumi contenuti, interni moderni.","Prestazioni tranquille, controllare manutenzione motore.","Citta, neopatentati, uso quotidiano.","Tagliandi, cinghia secondo versione, elettronica, gomme.","Cerchi omologati, gomme buone, estetica leggera.","Assetto troppo rigido, scarico sportivo inutile, manutenzione saltata.",Utilitaria moderna e gradevole.
Alfa Romeo MiTo 1.4 Turbo,Alfa Romeo,MiTo,1.4 Turbo,2008-2018,Benzina,Compatta sportiva,155,230,6.5,8.0,215,6000,14000,7,6,8,"Linea particolare, motore brillante, guida sfiziosa.","Interni datati, attenzione a manutenzione e auto modificate.","Giovani appassionati, uso quotidiano sportivo.","Tagliandi, turbina, frizione, sospensioni, elettronica, modifiche.","Assetto moderato, gomme buone, freni, scarico omologato.","Mappe aggressive, assetto estremo, esemplari maltrattati.",Scelta interessante per chi vuole una piccola sportiva italiana.
Jeep Renegade 1.6 Multijet,Jeep,Renegade,1.6 Multijet,2014-oggi,Diesel,SUV compatto,120,320,5.2,10.2,178,12000,25000,7,7,5,"Posizione alta, stile personale, buona praticita.","Consumi superiori a utilitaria, peso, costi gomme.","Famiglia piccola, citta, viaggi tranquilli.","Tagliandi, DPF, EGR, frizione, gomme, sospensioni.","Gomme buone, manutenzione, estetica sobria.","Rimappe pesanti, cerchi enormi, assetto inutile.",SUV compatto valido se vuoi posizione alta e praticita.
Nissan Qashqai 1.5 dCi,Nissan,Qashqai,1.5 dCi,2014-2021,Diesel,SUV compatto,110,260,4.5,11.9,182,11000,23000,8,8,5,"Comodo, spazioso, consumi bassi, molto diffuso.","Poco sportivo, attenzione a diesel usati male in citta.","Famiglia, viaggi, uso quotidiano.","DPF, EGR, tagliandi, frizione, gomme, km reali.","Gomme buone, manutenzione, accessori pratici.","Eliminazione DPF, rimappe pesanti, assetto sportivo.",SUV razionale e molto sfruttabile.
Opel Corsa 1.2,Opel,Corsa,1.2,2014-oggi,Benzina,Utilitaria,75,118,5.2,13.2,170,6000,15000,7,7,5,"Semplice, comoda, costi gestibili.","Prestazioni tranquille, meno emozionale di alcune rivali.","Citta, neopatentati, uso quotidiano.","Tagliandi, frizione, elettronica, sospensioni, gomme.","Manutenzione, gomme buone, estetica leggera.","Tuning pesante, assetto estremo, modifiche economiche.",Utilitaria concreta e facile da gestire.
Volkswagen Golf 1.6 TDI,Volkswagen,Golf,1.6 TDI,2012-2020,Diesel,Compatta,105,250,4.2,10.7,195,9000,20000,8,8,6,"Equilibrata, consumi bassi, buona qualita.","Prezzi usato alti, attenzione a DPF e chilometri reali.","Uso quotidiano, viaggi, autostrada.","Km reali, tagliandi, DPF, EGR, frizione/DSG, gomme.","Gomme buone, freni, manutenzione, estetica sobria.","Eliminazione DPF, mappe spinte, assetti estremi.",Compatta diesel molto razionale.
